ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,last_change
10578,Acetoin,0,,15688.0,12363.0,532,23134,1,2017-02-10 10:00:50
10579,Indole,0,,35581.0,12365.0,533,23135,1,2017-02-10 10:00:50
10580,Acetoin,0,,15688.0,12366.0,534,23136,1,2017-02-10 10:00:50
10581,Indole,0,,35581.0,12367.0,569,23137,1,2017-02-10 10:00:50
10582,Indole,0,,35581.0,12369.0,570,23359,1,2017-02-10 10:00:50
10583,Acetoin,0,,15688.0,12368.0,570,23359,1,2017-02-10 10:00:50
10584,Acetoin,0,,15688.0,12370.0,571,23359,1,2017-02-10 10:00:50
10585,Acetoin,0,,15688.0,12371.0,572,23138,1,2017-02-10 10:00:50
10586,Indole,1,,35581.0,12372.0,572,23138,1,2017-02-10 10:00:50
10587,Indole,0,,35581.0,12374.0,599,23140,1,2017-02-10 10:00:50
10588,Acetoin,0,,15688.0,12373.0,599,23140,1,2017-02-10 10:00:50
10589,Indole,0,,35581.0,10295.0,1077,23299,1,2017-02-10 10:00:50
10590,Hydrogen sulfide,0,,16136.0,10296.0,1077,23299,1,2017-02-10 10:00:50
10591,Dihydroxyacetone,0,,16016.0,10297.0,1077,23299,1,2017-02-10 10:00:50
10592,Acetoin,1,,15688.0,12375.0,1077,23299,1,2017-02-10 10:00:50
10593,Indole,0,,35581.0,10298.0,1093,23301,1,2017-02-10 10:00:50
10594,Hydrogen sulfide,0,,16136.0,10299.0,1093,23301,1,2017-02-10 10:00:50
10595,Dihydroxyacetone,0,,16016.0,10300.0,1093,23301,1,2017-02-10 10:00:50
10596,Acetoin,1,,15688.0,12376.0,1093,23301,1,2017-02-10 10:00:50
10597,Indole,0,,35581.0,10301.0,1150,23302,1,2017-02-10 10:00:50
10598,Hydrogen sulfide,0,,16136.0,10302.0,1150,23302,1,2017-02-10 10:00:50
10599,Dihydroxyacetone,0,,16016.0,10303.0,1150,23302,1,2017-02-10 10:00:50
10600,Acetoin,1,,15688.0,12377.0,1150,23302,1,2017-02-10 10:00:50
10601,Indole,0,,35581.0,10304.0,1151,23303,1,2017-02-10 10:00:50
10602,Hydrogen sulfide,0,,16136.0,10305.0,1151,23303,1,2017-02-10 10:00:50
10603,Dihydroxyacetone,0,,16016.0,10306.0,1151,23303,1,2017-02-10 10:00:50
10604,Acetoin,1,,15688.0,12378.0,1151,23303,1,2017-02-10 10:00:50
10605,Indole,0,,35581.0,10307.0,1154,23305,1,2017-02-10 10:00:50
10606,Acetoin,1,,15688.0,12379.0,1201,23306,1,2017-02-10 10:00:50
10607,Indole,0,,35581.0,12381.0,1203,23307,1,2017-02-10 10:00:50
10608,Acetoin,0,,15688.0,12380.0,1203,23307,1,2017-02-10 10:00:50
10609,Indole,0,,35581.0,10308.0,1208,23308,1,2017-02-10 10:00:50
10610,Hydrogen sulfide,0,,16136.0,10309.0,1208,23308,1,2017-02-10 10:00:50
10611,Acetoin,0,,15688.0,12382.0,1208,23308,1,2017-02-10 10:00:50
10612,Hydrogen sulfide,0,,16136.0,10310.0,1209,23309,1,2017-02-10 10:00:50
10613,Acetoin,0,,15688.0,10311.0,1209,23309,1,2017-02-10 10:00:50
10614,Indole,0,,35581.0,12384.0,1210,23310,1,2017-02-10 10:00:50
10615,Acetoin,1,,15688.0,12383.0,1210,23310,1,2017-02-10 10:00:50
10616,Indole,0,,35581.0,12386.0,1212,23311,1,2017-02-10 10:00:50
10617,Hydrogen sulfide,0,,16136.0,10312.0,1212,23311,1,2017-02-10 10:00:50
10618,Acetoin,0,,15688.0,12385.0,1212,23311,1,2017-02-10 10:00:50
10619,Indole,0,,35581.0,10313.0,1213,23312,1,2017-02-10 10:00:50
10620,Hydrogen sulfide,0,,16136.0,10314.0,1213,23312,1,2017-02-10 10:00:50
10621,Indole,0,,35581.0,10315.0,1214,23312,1,2017-02-10 10:00:50
10622,Hydrogen sulfide,0,,16136.0,10316.0,1214,23312,1,2017-02-10 10:00:50
10623,Acetoin,0,,15688.0,12387.0,1214,23312,1,2017-02-10 10:00:50
10624,Indole,0,,35581.0,10317.0,1215,23312,1,2017-02-10 10:00:50
10625,Hydrogen sulfide,0,,16136.0,10318.0,1215,23312,1,2017-02-10 10:00:50
10626,Acetoin,0,,15688.0,12388.0,1215,23312,1,2017-02-10 10:00:50
10627,Indole,0,,35581.0,10319.0,1216,23312,1,2017-02-10 10:00:50
10628,Hydrogen sulfide,0,,16136.0,10320.0,1216,23312,1,2017-02-10 10:00:50
10629,Acetoin,0,,15688.0,12389.0,1216,23312,1,2017-02-10 10:00:50
10630,Indole,0,,35581.0,10321.0,1217,23312,1,2017-02-10 10:00:50
10631,Hydrogen sulfide,0,,16136.0,10322.0,1217,23312,1,2017-02-10 10:00:50
10632,Acetoin,0,,15688.0,12390.0,1217,23312,1,2017-02-10 10:00:50
10633,Indole,0,,35581.0,10323.0,1233,23315,1,2017-02-10 10:00:50
10634,Acetoin,0,,15688.0,12391.0,1233,23315,1,2017-02-10 10:00:50
10635,Acetoin,0,,15688.0,12392.0,1239,23316,1,2017-02-10 10:00:50
10636,Indole,0,,35581.0,10324.0,1251,23318,1,2017-02-10 10:00:50
10637,Hydrogen sulfide,0,,16136.0,10325.0,1251,23318,1,2017-02-10 10:00:50
10638,Acetoin,1,,15688.0,12393.0,1251,23318,1,2017-02-10 10:00:50
