ID_annotation_event,approved,ID_approval_user,ID_annotation_user,Created,Last_Changed
4018,0,,10,2014-11-24 12:07:37,2014-11-24 12:07:37
4019,0,,10,2014-11-24 12:09:32,2014-11-24 12:09:32
4020,0,,10,2014-11-24 12:10:35,2014-11-24 12:10:35
4021,0,,10,2014-11-24 12:11:57,2014-11-24 12:11:57
4022,0,,10,2014-11-24 12:13:22,2014-11-24 12:13:22
4023,0,,10,2014-11-24 12:15:07,2014-11-24 12:15:07
4024,0,,10,2014-11-24 12:15:54,2014-11-24 12:15:54
4025,0,,10,2014-11-24 12:18:30,2014-11-24 12:18:30
4026,0,,10,2014-11-24 12:20:14,2014-11-24 12:20:14
4027,0,,10,2014-11-25 09:15:51,2014-11-25 09:15:51
4028,0,,10,2014-11-25 09:18:22,2014-11-25 09:18:22
4029,0,,10,2014-11-25 09:25:40,2014-11-25 09:25:40
4030,0,,10,2014-11-25 09:30:35,2014-11-25 09:30:35
4031,0,,10,2014-11-25 09:34:24,2014-11-25 09:34:24
4032,0,,10,2014-11-25 09:37:14,2014-11-25 09:37:14
4033,0,,10,2014-11-25 09:43:38,2014-11-25 09:43:38
4034,0,,10,2014-11-25 09:46:13,2014-11-25 09:46:13
4035,0,,10,2014-11-25 09:48:03,2014-11-25 09:48:03
4036,0,,10,2014-11-25 09:49:58,2014-11-25 09:49:58
4037,0,,10,2014-11-25 09:53:26,2014-11-25 09:53:26
4038,0,,10,2014-11-25 09:55:30,2014-11-25 09:55:30
4039,0,,10,2014-11-25 09:57:33,2014-11-25 09:57:33
4040,0,,10,2014-11-25 10:00:33,2014-11-25 10:00:33
4041,0,,10,2014-11-25 10:02:59,2014-11-25 10:02:59
4042,0,,10,2014-11-25 10:04:43,2014-11-25 10:04:43
4043,0,,10,2014-11-25 10:07:45,2014-11-25 10:07:45
4044,0,,10,2014-11-25 10:10:53,2014-11-25 10:10:53
4045,0,,10,2014-11-25 10:13:05,2014-11-25 10:13:05
4046,0,,10,2014-11-25 10:14:55,2014-11-25 10:14:55
4047,0,,10,2014-11-25 10:15:55,2014-11-25 10:15:55
4048,0,,10,2014-11-25 10:21:48,2014-11-25 10:21:48
4049,0,,10,2014-11-25 10:24:43,2014-11-25 10:24:43
4050,0,,10,2014-11-25 10:26:07,2014-11-25 10:26:07
4051,0,,10,2014-11-25 10:29:00,2014-11-25 10:29:00
4052,0,,10,2014-11-25 10:32:14,2014-11-25 10:32:14
4053,0,,10,2014-11-25 10:34:35,2014-11-25 10:34:35
4054,0,,10,2014-11-25 10:37:06,2014-11-25 10:37:06
4055,0,,10,2014-11-25 10:41:58,2014-11-25 10:41:58
4056,0,,10,2014-11-25 10:43:55,2014-11-25 10:43:55
4057,0,,10,2014-11-25 10:45:52,2014-11-25 10:45:52
4058,0,,10,2014-11-25 10:48:24,2014-11-25 10:48:24
4059,0,,10,2014-11-25 10:53:56,2014-11-25 10:53:56
4060,0,,10,2014-11-25 10:55:34,2014-11-25 10:55:34
4061,0,,10,2014-11-25 10:57:03,2014-11-25 10:57:03
4062,0,,10,2014-11-25 11:01:02,2014-11-25 11:01:02
4063,0,,10,2014-11-25 11:03:25,2014-11-25 11:03:25
4064,0,,10,2014-11-25 11:11:55,2014-11-25 11:11:55
4065,0,,10,2014-11-25 11:14:15,2014-11-25 11:14:15
4066,0,,10,2014-11-25 11:16:58,2014-11-25 11:16:58
4067,0,,10,2014-11-25 11:20:21,2014-11-25 11:20:21
4068,0,,10,2014-11-25 11:22:07,2014-11-25 11:22:07
4069,0,,10,2014-11-25 11:24:27,2014-11-25 11:24:27
4070,0,,10,2014-11-25 11:26:32,2014-11-25 11:26:32
4071,0,,10,2014-11-25 11:28:11,2014-11-25 11:28:11
4072,0,,10,2014-11-25 11:29:32,2014-11-25 11:29:32
4073,0,,10,2014-11-25 11:31:14,2014-11-25 11:31:14
4074,0,,10,2014-11-25 11:33:34,2014-11-25 11:33:34
4075,0,,10,2014-11-25 11:34:58,2014-11-25 11:34:58
4076,0,,10,2014-11-25 11:36:06,2014-11-25 11:36:06
4077,0,,10,2014-11-25 11:38:31,2014-11-25 11:38:31
4078,0,,10,2014-11-25 11:40:00,2014-11-25 11:40:00
4079,0,,10,2014-11-25 11:41:53,2014-11-25 11:41:53
4080,0,,10,2014-11-25 11:43:18,2014-11-25 11:43:18
4081,0,,10,2014-11-25 11:44:44,2014-11-25 11:44:44
4082,0,,10,2014-11-25 11:47:12,2014-11-25 11:47:12
4083,0,,10,2014-11-25 11:48:54,2014-11-25 11:48:54
4084,0,,10,2014-11-25 11:50:18,2014-11-25 11:50:18
4085,0,,10,2014-11-25 11:51:54,2014-11-25 11:51:54
4086,0,,10,2014-11-25 11:53:59,2014-11-25 11:53:59
4087,0,,10,2014-11-25 11:56:20,2014-11-25 11:56:20
4088,0,,10,2014-11-25 11:57:38,2014-11-25 11:57:38
4089,0,,10,2014-11-25 11:58:58,2014-11-25 11:58:58
4090,0,,10,2014-11-25 12:09:36,2014-11-25 12:09:36
4091,0,,10,2014-11-25 12:11:33,2014-11-25 12:11:33
4092,0,,10,2014-11-25 12:15:45,2014-11-25 12:15:45
4093,0,,10,2014-11-25 12:17:03,2014-11-25 12:17:03
4094,0,,10,2014-11-25 12:18:42,2014-11-25 12:18:42
4095,0,,10,2014-11-25 12:20:04,2014-11-25 12:20:04
4096,0,,10,2014-11-25 12:21:36,2014-11-25 12:21:36
4097,0,,10,2014-11-25 12:24:23,2014-11-25 12:24:23
4098,0,,10,2014-11-25 12:27:04,2014-11-25 12:27:04
4099,0,,10,2014-11-25 12:28:22,2014-11-25 12:28:22
4100,0,,10,2014-11-25 12:30:38,2014-11-25 12:30:38
4101,0,,10,2014-11-25 12:31:52,2014-11-25 12:31:52
4102,0,,10,2014-11-25 12:34:06,2014-11-25 12:34:06
4103,0,,10,2014-11-25 12:35:30,2014-11-25 12:35:30
4104,0,,10,2014-11-25 12:36:58,2014-11-25 12:36:58
4105,0,,10,2014-11-25 12:43:29,2014-11-25 12:43:29
4106,0,,10,2014-11-25 12:47:15,2014-11-25 12:47:15
4107,0,,10,2014-11-25 12:49:15,2014-11-25 12:49:15
4108,0,,10,2014-11-25 12:50:58,2014-11-25 12:50:58
4109,0,,10,2014-11-25 12:54:11,2014-11-25 12:54:11
4110,0,,10,2014-11-25 12:57:35,2014-11-25 12:57:35
4111,0,,10,2014-11-25 13:00:37,2014-11-25 13:00:37
4112,0,,10,2014-11-25 13:02:30,2014-11-25 13:02:30
4113,0,,10,2014-11-25 13:04:24,2014-11-25 13:04:24
4114,0,,10,2014-11-25 13:05:56,2014-11-25 13:05:56
4115,0,,10,2014-11-25 13:07:23,2014-11-25 13:07:23
4116,0,,10,2014-11-25 13:08:58,2014-11-25 13:08:58
4117,0,,10,2014-11-25 13:10:16,2014-11-25 13:10:16
4118,0,,10,2014-11-25 14:30:15,2014-11-25 14:30:15
4119,0,,10,2014-11-25 14:33:05,2014-11-25 14:33:05
4120,0,,10,2014-11-25 14:40:40,2014-11-25 14:40:40
4121,0,,10,2014-11-25 14:46:03,2014-11-25 14:46:03
4122,0,,10,2014-11-25 14:49:48,2014-11-25 14:49:48
4123,0,,10,2014-11-25 14:51:15,2014-11-25 14:51:15
4124,0,,10,2014-11-25 14:53:14,2014-11-25 14:53:14
4125,0,,10,2014-11-25 14:56:20,2014-11-25 14:56:20
4126,0,,10,2014-11-25 14:57:47,2014-11-25 14:57:47
4127,0,,10,2014-11-25 14:59:44,2014-11-25 14:59:44
4128,0,,10,2014-11-25 15:04:07,2014-11-25 15:04:07
4129,0,,10,2014-11-25 15:06:47,2014-11-25 15:06:47
4130,0,,10,2014-11-25 15:08:26,2014-11-25 15:08:26
4131,0,,10,2014-11-25 15:10:08,2014-11-25 15:10:08
4132,0,,10,2014-11-25 15:11:20,2014-11-25 15:11:20
4133,0,,10,2014-11-25 15:13:26,2014-11-25 15:13:26
