temp,test_type,ability,temperature_range,ID_strains
27.5,optimum,positive,mesophilic,23347
27.5,optimum,positive,mesophilic,2473
27.5,optimum,positive,mesophilic,6039
27.5,optimum,positive,mesophilic,6151
27.5,optimum,positive,mesophilic,12608
27.5,optimum,positive,mesophilic,3894
27.5,optimum,positive,mesophilic,10622
27.5,optimum,positive,mesophilic,17825
27.5,optimum,positive,mesophilic,7982
27.5,optimum,positive,mesophilic,14253
28-30,optimum,positive,mesophilic,5707
28-30,optimum,positive,mesophilic,133548
28-30,optimum,positive,mesophilic,13931
28-30,optimum,positive,mesophilic,17899
28-30,optimum,positive,mesophilic,5694
28-30,optimum,positive,mesophilic,5681
28-30,optimum,positive,mesophilic,134370
28-30,optimum,positive,mesophilic,17403
28-30,optimum,positive,mesophilic,7240
28-30,optimum,positive,mesophilic,11218
28-30,optimum,positive,mesophilic,134108
28-30,optimum,positive,mesophilic,134192
28-30,optimum,positive,mesophilic,11340
28-30,optimum,positive,mesophilic,11328
28-30,optimum,positive,mesophilic,11325
28-30,optimum,positive,mesophilic,11327
28-30,optimum,positive,mesophilic,11326
28-30,optimum,positive,mesophilic,131849
28-30,optimum,positive,mesophilic,134177
28-30,optimum,positive,mesophilic,5729
28-30,optimum,positive,mesophilic,134161
28-30,optimum,positive,mesophilic,17663
28-30,optimum,positive,mesophilic,133524
28-30,optimum,positive,mesophilic,17406
28-30,optimum,positive,mesophilic,11942
28-32,optimum,positive,mesophilic,133600
28-32,optimum,positive,mesophilic,5643
28-32,optimum,positive,mesophilic,17889
28-32,optimum,positive,mesophilic,24302
28-32,optimum,positive,mesophilic,22908
28-32,optimum,positive,mesophilic,133586
28-35,optimum,positive,mesophilic,133576
28-35,optimum,positive,mesophilic,3946
28-35,optimum,positive,mesophilic,5183
28-35,optimum,positive,mesophilic,14676
28-37,optimum,positive,mesophilic,134338
28-37,optimum,positive,mesophilic,16494
28-37,optimum,positive,mesophilic,8031
28-37,optimum,positive,mesophilic,7453
28-37,optimum,positive,mesophilic,133454
28-37,optimum,positive,mesophilic,13774
28-37,optimum,positive,mesophilic,1972
28-40,optimum,positive,NULL,1872
28.5,optimum,positive,mesophilic,5630
28.5,optimum,positive,mesophilic,23745
28.5,optimum,positive,mesophilic,11045
28.5,optimum,positive,mesophilic,13268
28.5,optimum,positive,mesophilic,13412
28.5,optimum,positive,mesophilic,5701
28.5,optimum,positive,mesophilic,13905
28.5,optimum,positive,mesophilic,17455
28.5,optimum,positive,mesophilic,130499
28.5,optimum,positive,mesophilic,24013
28.5,optimum,positive,mesophilic,7435
28.5,optimum,positive,mesophilic,17008
28.5,optimum,positive,mesophilic,132110
28.5,optimum,positive,mesophilic,13253
28.5,optimum,positive,mesophilic,17007
28.5,optimum,positive,mesophilic,17010
28.5,optimum,positive,mesophilic,6644
28.5,optimum,positive,mesophilic,11079
28.5,optimum,positive,mesophilic,10617
28.5,optimum,positive,mesophilic,13826
28.5,optimum,positive,mesophilic,17570
28.5,optimum,positive,mesophilic,11599
28.5,optimum,positive,mesophilic,3031
28.5,optimum,positive,mesophilic,5841
28.5,optimum,positive,mesophilic,5845
28.5,optimum,positive,mesophilic,5458
28.5,optimum,positive,mesophilic,5695
28.5,optimum,positive,mesophilic,5806
29-37,optimum,positive,mesophilic,1973
29.5,optimum,positive,mesophilic,398
29.5,optimum,positive,mesophilic,7603
29.5,optimum,positive,mesophilic,13273
29.5,optimum,positive,mesophilic,8174
29.5,optimum,positive,mesophilic,10615
29.5,optimum,positive,mesophilic,17490
29.5,optimum,positive,mesophilic,17512
29.5,optimum,positive,mesophilic,13999
30-33,optimum,positive,mesophilic,5686
30-33,optimum,positive,mesophilic,23230
30-33,optimum,positive,mesophilic,17757
30-35,optimum,positive,mesophilic,5546
30-35,optimum,positive,mesophilic,132846
30-35,optimum,positive,mesophilic,13824
30-35,optimum,positive,mesophilic,133599
30-35,optimum,positive,mesophilic,134181
30-35,optimum,positive,mesophilic,296
30-35,optimum,positive,mesophilic,23232
30-35,optimum,positive,mesophilic,10626
30-35,optimum,positive,mesophilic,6197
30-35,optimum,positive,mesophilic,6235
30-35,optimum,positive,mesophilic,134086
30-35,optimum,positive,mesophilic,134085
30-35,optimum,positive,mesophilic,133571
30-35,optimum,positive,mesophilic,133612
30-35,optimum,positive,mesophilic,6238
30-35,optimum,positive,mesophilic,1537
30-37,optimum,positive,mesophilic,5747
30-37,optimum,positive,mesophilic,14084
30-37,optimum,positive,mesophilic,3829
30-37,optimum,positive,mesophilic,130458
30-37,optimum,positive,mesophilic,5715
30-37,optimum,positive,mesophilic,6076
30-37,optimum,positive,mesophilic,23755
30-37,optimum,positive,mesophilic,13180
30-37,optimum,positive,mesophilic,134198
30-37,optimum,positive,mesophilic,134147
30-37,optimum,positive,mesophilic,17756
30-37,optimum,positive,mesophilic,133589
30-37,optimum,positive,mesophilic,134199
30-37,optimum,positive,mesophilic,10808
30-37,optimum,positive,mesophilic,133590
