ID_oxygen_tolerance,oxygen_tol,ID_strains
2116,microaerophile,6792
2117,microaerophile,6793
2118,microaerophile,6813
2120,anaerobe,6830
2121,anaerobe,6838
2122,microaerophile,6838
2123,microaerophile,6839
2124,microaerophile,6840
2125,microaerophile,6841
2126,anaerobe,6854
2127,microaerophile,6855
2128,microaerophile,6857
2129,microaerophile,6858
2130,microaerophile,6859
2131,microaerophile,6860
2132,microaerophile,6863
2133,microaerophile,6864
2135,microaerophile,6865
2137,anaerobe,6882
2138,anaerobe,6883
2139,anaerobe,6884
2140,anaerobe,6885
2142,anaerobe,6886
2143,anaerobe,6887
2144,anaerobe,6888
2145,anaerobe,6889
2146,anaerobe,6890
2147,anaerobe,6891
2148,anaerobe,6892
2149,anaerobe,6893
2150,anaerobe,6894
2151,anaerobe,6895
2152,anaerobe,6896
2153,anaerobe,6897
2154,anaerobe,6898
2155,anaerobe,6899
2156,anaerobe,6900
2157,anaerobe,6901
2158,anaerobe,6902
2159,anaerobe,6903
2160,anaerobe,6904
2162,anaerobe,6905
2163,anaerobe,6906
2164,anaerobe,6907
2165,anaerobe,6908
2166,anaerobe,6909
2167,anaerobe,6910
2168,anaerobe,6911
2169,anaerobe,6912
2170,anaerobe,6913
2171,anaerobe,6914
2172,anaerobe,6915
2173,anaerobe,6916
2174,anaerobe,6917
2175,anaerobe,6918
2176,anaerobe,6919
2177,anaerobe,6920
2178,anaerobe,6921
2179,anaerobe,6922
2180,anaerobe,6923
2182,anaerobe,6924
2183,anaerobe,6925
2184,anaerobe,6926
2186,anaerobe,6927
2188,anaerobe,6928
2189,anaerobe,6929
2190,anaerobe,6930
2191,anaerobe,6931
2192,anaerobe,6932
2193,anaerobe,6933
2194,anaerobe,6935
2196,anaerobe,6936
2197,anaerobe,6937
2198,anaerobe,6938
2199,anaerobe,6939
2200,anaerobe,6940
2201,anaerobe,6942
2202,anaerobe,6943
2204,anaerobe,6944
2205,anaerobe,6945
2206,anaerobe,6946
2207,anaerobe,6947
2208,anaerobe,6948
2209,anaerobe,6949
2210,anaerobe,6950
2211,anaerobe,6951
2212,anaerobe,6952
2213,anaerobe,6953
2214,anaerobe,6954
2215,anaerobe,6955
2216,anaerobe,6956
2217,anaerobe,6957
2219,anaerobe,6958
2220,anaerobe,6959
2221,anaerobe,6960
2222,anaerobe,6961
2224,anaerobe,6962
2226,anaerobe,6963
2228,anaerobe,6964
2230,anaerobe,6965
2232,anaerobe,6966
2234,anaerobe,6967
2235,anaerobe,6968
2236,anaerobe,6969
2237,anaerobe,6970
2238,anaerobe,6971
2239,anaerobe,6972
2241,anaerobe,6973
2243,anaerobe,6974
2245,anaerobe,6975
2246,anaerobe,6977
2247,anaerobe,6978
2248,anaerobe,6979
2249,anaerobe,6980
2250,anaerobe,6981
2251,anaerobe,6982
2252,anaerobe,6983
2253,anaerobe,6984
2254,anaerobe,6985
2255,anaerobe,6986
2256,anaerobe,6987
2257,anaerobe,6988
2258,anaerobe,6989
2259,anaerobe,6990
2260,anaerobe,6991
2261,anaerobe,6992
2263,anaerobe,6993
2264,anaerobe,6994
2266,anaerobe,6995
2267,anaerobe,6996
2268,anaerobe,6997
2269,anaerobe,6998
2270,anaerobe,6999
2271,anaerobe,7000
2272,anaerobe,7001
2273,anaerobe,7002
2274,anaerobe,7003
2275,anaerobe,7004
2276,anaerobe,7005
2277,anaerobe,7006
2278,anaerobe,7007
2279,anaerobe,7008
2280,anaerobe,7009
2281,anaerobe,7010
2282,anaerobe,7011
