"Dataset","Number of the triple","Time"
"culture_medium","5820000","110.34956002235413"
"culture_medium","5830000","110.4985249042511"
"culture_medium","5840000","110.65152525901794"
"culture_medium","5850000","110.80956196784973"
"culture_medium","5860000","110.98352885246277"
"culture_medium","5870000","111.15152907371521"
"culture_medium","5880000","111.30952620506287"
"culture_medium","5890000","111.45856285095215"
"culture_medium","5900000","111.61156249046326"
"culture_medium","5910000","111.76352882385254"
"culture_medium","5920000","111.91953039169312"
"culture_medium","5930000","112.06753039360046"
"culture_medium","5940000","112.23138546943665"
"culture_medium","5950000","112.37943434715271"
"culture_medium","5960000","112.5403950214386"
"culture_medium","5970000","112.70039463043213"
"culture_medium","5980000","112.87543439865112"
"culture_medium","5990000","113.03739523887634"
"culture_medium","6000000","113.19342947006226"
"culture_medium","6010000","113.34139728546143"
"culture_medium","6020000","113.50294137001038"
"met_test","6030000","113.9331910610199"
"met_test","6040000","114.09119534492493"
"gc_content","6050000","114.80422925949097"
"gc_content","6060000","114.9522294998169"
"gc_content","6070000","115.10023260116577"
"gc_content","6080000","115.24819707870483"
"gc_content","6090000","115.3902325630188"
"gc_content","6100000","115.54322957992554"
"gc_content","6110000","115.68722915649414"
"gc_content","6120000","115.8411967754364"
"gc_content","6130000","116.00523352622986"
"gc_content","6140000","116.17323303222656"
"gc_content","6150000","116.3462085723877"
"gc_content","6160000","116.50723671913147"
"gc_content","6170000","116.66520023345947"
"gc_content","6180000","116.80823588371277"
"gc_content","6190000","116.95823931694031"
"multicellular_morphology","6200000","117.46137833595276"
"multicellular_morphology","6210000","117.65737819671631"
"multicellular_morphology","6220000","117.84837865829468"
"multicellular_morphology","6230000","118.04938006401062"
"multicellular_morphology","6240000","118.23442578315735"
"multicellular_morphology","6250000","118.42040657997131"
"multicellular_morphology","6260000","118.61340403556824"
"multicellular_morphology","6270000","118.80143928527832"
"murein","6280000","119.16144227981567"
"strain_history","6290000","119.70301628112793"
"strain_history","6300000","119.87401509284973"
"strain_history","6310000","120.0390145778656"
"strain_history","6320000","120.20204997062683"
"strain_history","6330000","120.37001419067383"
"strain_history","6340000","120.54401755332947"
"strain_history","6350000","120.72201728820801"
"strain_history","6360000","120.88701629638672"
"strain_history","6370000","121.06001853942871"
"strain_history","6380000","121.22901678085327"
"strain_history","6390000","121.40001797676086"
"strain_history","6400000","121.56605339050293"
"strain_history","6410000","121.74502277374268"
"strain_history","6420000","121.91704964637756"
"strain_history","6430000","122.08619856834412"
"strain_history","6440000","122.25389051437378"
"observation","6450000","122.70087146759033"
"observation","6460000","122.85087156295776"
"observation","6470000","123.0049078464508"
"observation","6480000","123.16387367248535"
"observation","6490000","123.31787419319153"
"observation","6500000","123.4650366306305"
"observation","6510000","123.6100058555603"
"observation","6520000","123.78203105926514"
"compound_production","6530000","124.1965970993042"
"compound_production","6540000","124.3906033039093"
"strain_synonyms","6550000","126.38008522987366"
"strain_synonyms","6560000","126.53404831886292"
"strain_synonyms","6570000","126.6920850276947"
"strain_synonyms","6580000","126.8521134853363"
"strain_synonyms","6590000","127.0000855922699"
"strain_synonyms","6600000","127.16406106948853"
"strain_synonyms","6610000","127.32806158065796"
"strain_synonyms","6620000","127.48806357383728"
"strain_synonyms","6630000","127.65106272697449"
"strain_synonyms","6640000","127.80909895896912"
"strain_synonyms","6650000","127.96609878540039"
"strain_synonyms","6660000","128.12606525421143"
"strain_synonyms","6670000","128.2890603542328"
"strain_synonyms","6680000","128.45509600639343"
"strain_synonyms","6690000","128.61506032943726"
"strain_synonyms","6700000","128.79006218910217"
"strain_synonyms","6710000","128.96406388282776"
"strain_synonyms","6720000","129.1340618133545"
"strain_synonyms","6730000","129.29209804534912"
"strain_synonyms","6740000","129.44906401634216"
"strain_synonyms","6750000","129.61439871788025"
"strain_synonyms","6760000","129.78939747810364"
"strain_synonyms","6770000","129.9744005203247"
"strain_synonyms","6780000","130.16439867019653"
"strain_synonyms","6790000","130.33743476867676"
"strain_synonyms","6800000","130.5154366493225"
"strain_synonyms","6810000","130.68540501594543"
"strain_synonyms","6820000","130.86898231506348"
"strain_synonyms","6830000","131.04797983169556"
"strain_synonyms","6840000","131.21598196029663"
"strain_synonyms","6850000","131.3909831047058"
"strain_synonyms","6860000","131.5590181350708"
"strain_synonyms","6870000","131.72298216819763"
"strain_synonyms","6880000","131.88901710510254"
"strain_synonyms","6890000","132.05998468399048"
"strain_synonyms","6900000","132.24159288406372"
"strain_synonyms","6910000","132.41959309577942"
"strain_synonyms","6920000","132.58662629127502"
"strain_synonyms","6930000","132.7505967617035"
"strain_synonyms","6940000","132.9196047782898"
"strain_synonyms","6950000","133.08060383796692"
"strain_synonyms","6960000","133.25063967704773"
"strain_synonyms","6970000","133.4186065196991"
"strain_synonyms","6980000","133.58660674095154"
"strain_synonyms","6990000","133.75860595703125"
"strain_synonyms","7000000","133.9316508769989"
"strain_synonyms","7010000","134.09861016273499"
"strain_synonyms","7020000","134.27060890197754"
"strain_synonyms","7030000","134.43260955810547"
"strain_synonyms","7040000","134.60264420509338"
"strain_synonyms","7050000","134.7676088809967"
"strain_synonyms","7060000","134.9356107711792"
"strain_synonyms","7070000","135.117657661438"
"strain_synonyms","7080000","135.28562211990356"
"strain_synonyms","7090000","135.45365405082703"
"strain_synonyms","7100000","135.61665892601013"
"strain_synonyms","7110000","135.78162217140198"
"strain_synonyms","7120000","135.9386579990387"
"strain_synonyms","7130000","136.10462355613708"
"strain_synonyms","7140000","136.26662278175354"
"strain_synonyms","7150000","136.4366626739502"
"strain_synonyms","7160000","136.598623752594"
"strain_synonyms","7170000","136.7611379623413"
"strain_synonyms","7180000","136.92313694953918"
"strain_synonyms","7190000","137.0871832370758"
"strain_synonyms","7200000","137.24481558799744"
"strain_synonyms","7210000","137.41085195541382"
"strain_synonyms","7220000","137.57178449630737"
"strain_synonyms","7230000","137.73574924468994"
"strain_synonyms","7240000","137.96475172042847"
"strain_synonyms","7250000","138.13775205612183"
"strain_synonyms","7260000","138.31286144256592"
"strain_synonyms","7270000","138.48186087608337"
"strain_synonyms","7280000","138.65086150169373"
"strain_synonyms","7290000","138.81986260414124"
"strain_synonyms","7300000","138.99186086654663"
"strain_synonyms","7310000","139.16786170005798"
"strain_synonyms","7320000","139.33589816093445"
"strain_synonyms","7330000","139.50392198562622"
"strain_synonyms","7340000","139.67992067337036"
"strain_synonyms","7350000","139.85093092918396"
"strain_synonyms","7360000","140.02296590805054"
"strain_synonyms","7370000","140.18396592140198"
