ID_nutrition_type,nutrition_type,ID_strains,ID_reference,manual_annotation,last_change
1474,chemoorganotroph,141132,44045,1,2019-01-25 12:32:00
1475,chemoheterotroph,141135,44051,1,2019-01-25 12:32:00
1476,chemoorganotroph,141136,44052,1,2019-01-25 12:32:00
1477,chemoorganotroph,132356,44055,1,2019-01-25 12:32:00
1478,chemoorganotroph,132351,44065,1,2019-01-25 12:32:00
1479,chemoorganotroph,132353,44065,1,2019-01-25 12:32:00
1480,chemoorganotroph,141146,44067,1,2019-01-25 12:32:00
1481,chemoorganotroph,2072,44087,1,2019-01-25 12:32:00
1482,photoheterotroph,158529,65206,1,2019-11-12 11:49:34
1483,photolithoautotroph,158529,65206,1,2019-11-12 11:49:34
1484,chemoorganoheterotroph,158529,65206,1,2019-11-12 11:49:34
1485,autotroph,132366,65215,1,2019-11-12 11:49:34
1486,diazotroph,158540,65231,1,2019-11-12 11:49:34
1487,diazotroph,158541,65231,1,2019-11-12 11:49:34
1488,chemoorganotroph,157132,65238,1,2019-11-12 11:49:34
1489,chemoorganoheterotroph,158281,65280,1,2019-11-12 11:49:34
1490,chemoorganotroph,158583,65294,1,2019-11-12 11:49:34
1491,chemoheterotroph,158595,65308,1,2019-11-12 11:49:34
1492,chemoorganoheterotroph,158322,65345,1,2019-11-12 11:49:34
1493,chemoheterotroph,158621,65346,1,2019-11-12 11:49:34
1494,chemoorganotroph,158363,65369,1,2019-11-12 11:49:34
1495,heterotroph,158363,65369,1,2019-11-12 11:49:34
1496,chemoorganotroph,158668,65397,1,2019-11-12 11:49:34
1497,chemoheterotroph,158282,65404,1,2019-11-12 11:49:34
1498,methanotroph,158679,65411,1,2019-11-12 11:49:34
1499,chemoorganotroph,158680,65415,1,2019-11-12 11:49:34
1500,chemoorganotroph,158280,65416,1,2019-11-12 11:49:34
1501,chemoheterotroph,158682,65418,1,2019-11-12 11:49:34
1502,heterotroph,158689,65426,1,2019-11-12 11:49:34
1503,organotroph,158700,65439,1,2019-11-12 11:49:34
1504,chemoorganotroph,158703,65443,1,2019-11-12 11:49:34
1505,chemoorganotroph,158720,65465,1,2019-11-12 11:49:34
1506,autotroph,158721,65468,1,2019-11-12 11:49:34
1507,heterotroph,158721,65468,1,2019-11-12 11:49:34
1508,mixotroph,158721,65468,1,2019-11-12 11:49:34
1509,chemoorganotroph,158725,65472,1,2019-11-12 11:49:34
1510,chemoorganotroph,158770,65525,1,2019-11-12 11:49:34
1511,chemoorganotroph,158771,65525,1,2019-11-12 11:49:34
1512,methylotroph,158776,65530,1,2019-11-12 11:49:34
1513,chemoorganotroph,157768,65560,1,2019-11-12 11:49:34
1514,chemoorganotroph,158800,65561,1,2019-11-12 11:49:34
