ID_kit_api_NH,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,ID_strains,ID_reference,manual_annotation,created_NH,modify_in_pgsql_NH,ID_tbl_api_NH,last_change
2635,+,+,-,+,-,-,+,+/-,+,-,+,-,-,11687,16239,1,2010-09-09 00:00:00,2016-01-18 08:02:53,189.0,2019-11-20 06:22:49
2634,+,+,+,+,-,-,+,+,+,-,+,-,+,11687,16239,1,2013-01-17 00:00:00,2016-01-18 08:02:53,188.0,2019-11-20 06:22:49
2633,+,+,+,+,-,-,+,+,+,-,+,-,-,11687,16239,1,2015-09-03 00:00:00,2016-01-18 08:02:53,187.0,2019-11-20 06:22:49
2632,+,+,+,+,-,+,-,+,+,-,-,-,-,11679,16238,1,2009-02-25 00:00:00,2016-01-18 08:02:53,186.0,2019-11-20 06:22:49
2631,+,-,-,-,-,-,-,-,-,+,-,-,-,10498,16229,1,2009-02-25 00:00:00,2016-01-18 08:02:53,185.0,2019-11-20 06:22:49
2630,+,+,+,+,-,-,+,-,-,-,+,-,-,10496,16228,1,2009-02-25 00:00:00,2016-01-18 08:02:53,184.0,2019-11-20 06:22:49
2629,+,-,-,-,-,-,-,-,-,+,-,-,-,10497,16227,1,2009-02-25 00:00:00,2016-01-18 08:02:53,183.0,2019-11-20 06:22:49
2628,+,+,+,+,-,-,+/-,-,-,+,+,-,-,10495,16226,1,2009-02-25 00:00:00,2016-01-18 08:02:53,182.0,2019-11-20 06:22:49
2627,+,+,+,+,-,+,+,+,+,-,+,-,-,11680,16202,1,2009-03-26 00:00:00,2016-01-18 08:02:53,181.0,2019-11-20 06:22:49
2626,+,+/-,-,-,+,+,+,-,+,-,-,-,-,11686,16201,1,2009-03-25 00:00:00,2016-01-18 08:02:53,180.0,2019-11-20 06:22:49
2625,+,+,+,+,-,-,+,+,+,-,+,-,-,11757,16038,1,2013-06-05 00:00:00,2016-01-18 08:02:53,179.0,2019-11-20 06:22:49
2624,+,+,-,+,-,-,-,-,-,-,-,-,-,11757,16038,1,2008-11-28 00:00:00,2016-01-18 08:02:53,178.0,2019-11-20 06:22:49
2623,-,-,-,-,-,-,+,-,-,-,-,-,-,8170,15935,1,2008-09-02 00:00:00,2016-01-18 08:02:53,177.0,2019-11-20 06:22:49
2622,+,-,-,-,-,-,-,-,-,+,+,-,+,10494,15862,1,2008-07-15 00:00:00,2016-01-18 08:02:53,176.0,2019-11-20 06:22:49
2621,+,+,-,-,+,-,-,-,-,+,+,-,+,10493,15856,1,2008-07-15 00:00:00,2016-01-18 08:02:53,175.0,2019-11-20 06:22:49
2620,+,+,-,+,-,-,-,+,-,-,+/-,-,-,11713,15715,1,2008-05-30 00:00:00,2016-01-18 08:02:53,173.0,2019-11-20 06:22:49
2619,+,+,+,+,-,-,-,+,-,-,-,-,-,11713,15715,1,2008-05-15 00:00:00,2016-01-18 08:02:53,172.0,2019-11-20 06:22:49
2618,+,+,+,+,-,+,-,+,+,-,-,-,-,11714,15714,1,2008-05-09 00:00:00,2016-01-18 08:02:53,171.0,2019-11-20 06:22:49
2617,+,+,+,+/-,-,+,-,+,+,-,+,,-,11714,15714,1,2015-08-19 00:00:00,2016-01-18 08:02:53,170.0,2019-11-20 06:22:49
2616,+,+,+,+,-,-,-,+,+,-,-,-,-,11715,15713,1,2011-09-27 00:00:00,2016-01-18 08:02:53,169.0,2019-11-20 06:22:49
2615,+,+,+,+,-,-,-,+,-,-,-,-,-,11755,15694,1,2008-05-07 00:00:00,2016-01-18 08:02:53,168.0,2019-11-20 06:22:49
2614,+,+,+,+,-,+,-,+,-,-,-,-,-,11708,15693,1,2013-12-16 00:00:00,2016-01-18 08:02:53,167.0,2019-11-20 06:22:49
2613,+,+,+,+,-,+,-,+,-,-,+,-,-,11708,15693,1,2008-05-07 00:00:00,2016-01-18 08:02:53,166.0,2019-11-20 06:22:49
2612,+,+,+,+,-,+,-,+,+,-,+,+,-,11739,15688,1,2008-05-06 00:00:00,2016-01-18 08:02:53,165.0,2019-11-20 06:22:49
