ID_kit_api_rID32STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_rID32STR,modify_in_pgsql_rID32STR,ID_tbl_api_rID32STR,last_change
6535,+,-,+,+,-,+,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,14799,8882,1,2016-04-14 00:00:00,2016-05-26 05:55:05,562.0,2019-11-20 06:22:52
6534,+,+,-,+,+,+,+,+,+/-,+/-,+,+/-,+,-,-,-,+,+,-,-,+,+/-,+,-,+,+,-,-,-,-,-,-,14829,7568,1,2016-05-04 00:00:00,2016-05-26 05:55:05,561.0,2019-11-20 06:22:52
6533,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,+,+,+,-,+,-,-,-,+,+,+,-,-,+/-,-,-,-,14758,8915,1,2016-03-23 00:00:00,2016-05-25 13:00:04,560.0,2019-11-20 06:22:52
6532,+,+,+,-,+,+/-,+,+,+,+,+,+,+,-,-,-,+,+,-,+,+/-,-,+,-,-,+,+,-,+,+,+,-,14788,2637,1,2016-03-09 00:00:00,2016-03-08 23:00:00,559.0,2019-11-20 06:22:52
6531,+,+,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,+,+,-,5294,17801,1,2016-03-15 00:00:00,2016-03-14 23:00:00,558.0,2019-11-20 06:22:52
6530,-,-,+,-,-,+/-,-,-,-,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,14786,8965,1,2016-03-02 00:00:00,2016-03-01 23:00:00,557.0,2019-11-20 06:22:52
6529,-,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+/-,-,-,-,-,+/-,-,-,-,-,-,131987,23779,1,2016-03-03 00:00:00,2016-03-02 23:00:00,556.0,2019-11-20 06:22:52
6528,+,+,+/-,+,-,+,+,+,-,+,+,-,+,+,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,+,+,-,130946,22238,1,2015-03-11 00:00:00,2016-02-05 15:47:31,555.0,2019-11-20 06:22:52
6527,+,+,+/-,-,-,+,+,+,+,+,+,+/-,+,-,-,+,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,-,130942,22234,1,2014-12-10 00:00:00,2016-02-05 15:47:31,554.0,2019-11-20 06:22:52
6526,+,+,-,-,-,-,+,+,-,+,+,-,+,-,-,+,+,+,+,+,-,-,-,-,-,+,-,-,+,+,-,-,130969,22261,1,2014-09-23 00:00:00,2016-02-05 15:47:31,553.0,2019-11-20 06:22:52
6525,-,-,+,-,+,+,+/-,-,-,+/-,+,+/-,+/-,-,-,-,+/-,-,+,-,-,-,-,-,-,+,+/-,-,-,-,-,+,131523,22750,1,2014-04-04 00:00:00,2016-02-05 15:47:31,552.0,2019-11-20 06:22:52
6524,+,+,-,-,-,-,+,-,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,-,-,+,-,-,+,-,+,-,130947,22239,1,2014-04-08 00:00:00,2016-02-05 15:47:31,551.0,2019-11-20 06:22:52
